Id,Date,Region,Source,Ship Type,Area,Location,Pollutant,Estimated Litres
693,11-10-2013,Brisbane,Unknown,Unknown,Coastal Waters,"Albatross Canal, Scarbourgh",Sheen,Unknown
694,19-10-2013,Mackay,Ship,Recreational,Port Limits,Mackay Marina ,Other (Lube Oil),3
695,23-10-2013,Gladstone,Ship,Commercial,Port Limits,Port of Bundaberg,Other (Hydraulic Oil),50
696,6-11-2013,Mackay,Ship,Recreational,Coastal Waters,"Abell Point Marina, Airlie Beach",Diesel,10
697,9-11-2013,Gladstone,Ship,Commercial,Port Limits,"Jetty at old slip way, Mary River",Diesel,40
698,11-11-2013,Gladstone,Unknown,N-A,Port Limits,"Between Flin RORO and small craft Anchorage, Gladstone",Diesel,Unknown
699,12-11-2013,Cairns,Ship,Commercial,Port Limits,HMAS Cairns Navy Base,Bilge,10
700,12-11-2013,Cairns,Ship,Commercial,Port Limits,"Tropical Reef Shipyards, Cairns",Diesel,2
701,13-11-2013,Gladstone,Ship,Fishing,Port Limits,"Entrance to Teebar Creek, Tin Can Bay",Diesel,Unknown
702,14-11-2013,Cairns,Ship,Fishing,Coastal Waters,"Dicksons Inlet, Port Douglas",Other (Gearbox oil),Unknown
703,15-11-2013,Cairns,Unknown,N-A,Port Limits,"Marlin Marina, Cairns",Diesel,10
704,21-11-2013,Cairns,Ship,Recreational,Coastal Waters,Between Cape Tribulation and Snapper Island,Diesel,Unknown
705,25-11-2013,Townsville,Ship,Recreational,Port Limits,"Nelly Bay Harbour, D Arm in Marina, Magnetic Island",Diesel,2
706,25-11-2013,Cairns,Unknown,N-A,Port Limits,"Smiths Creek, Trinity Inlet, Cairns",Sheen,Unknown
707,3-12-2013,Mackay,Ship,Fishing,Coastal Waters,"Mackay reef supplies wharf, Pioneer River",Diesel,300
708,5-12-2013,Townsville,Land,N-A,Port Limits,"Ross River, Townsville",HFO,100
709,9-12-2013,Mackay,Ship,Commercial,Coastal Waters,"Abell Point Marina, Airlie Beach",Bilge,5
710,10-12-2013,Brisbane,Unknown,N-A,Coastal Waters,"Cabbage Tree Creek, Brisbane",Diesel,Unknown
711,8-01-2014,Cairns,Land,N-A,Port Limits,"Endeavour River, Cooktown",Diesel,Unknown
712,9-01-2014,Gladstone,Ship,Unknown,Port Limits,Trawler pens in Tin Can Bay Marina,Bilge,Unknown
713,16-01-2014,Cairns,Unknown,N-A,Port Limits,"Endeavour River, Cooktown",Diesel,Unknown
714,20-01-2014,Gladstone,Unknown,N-A,Port Limits,"Mouth of the Calliope River, Gladstone",Sheen,Unknown
715,21-01-2014,Gladstone,Unknown,N-A,Port Limits,"Mouth of the Calliope River, Gladstone",Sheen,Unknown
716,22-01-2014,Townsville,Ship,Commercial,Port Limits,"Berth 1 and swing basin, Townsville",Other (Carbon Soot),Unknown
717,24-01-2014,Brisbane,Land,N-A,Port Limits,"Shell Tank Farm, Pinkenba, Brisbane",Other (Bitumen),Unknown
718,29-01-2014,Brisbane,Ship,Recreational,Coastal Waters,"Versace Marina, The Spit, Main Beach, Goldcoast",Diesel,2000
719,30-01-2014,Cairns,Ship,Unknown,Coastal Waters,"Cooya Beach boat ramp, Cairns",Diesel,Unknown
720,5-02-2014,Cairns,Ship,Fishing,Port Limits,"Fisherman's Base 2, Cairns",Bilge,10
721,14-02-2014,Cairns,Ship,Recreational,Port Limits,"F Finger, Marlin Marina, Cairns",Other,Unknown
722,18-02-2014,Cairns,Unknown,N-A,Port Limits,"Trinity Park Beach, Cairns",Other (Tar Balls),Unknown
723,19-02-2014,Cairns,Unknown,N-A,Port Limits,"Norship Slipway, Tingira St, Portsmith, Cairns",Sheen,Unknown
724,5-03-2014,Gladstone,Ship,Commercial,Port Limits,"Laird Point Boat Ramp, Gladstone",Diesel,20
725,8-03-2014,Cairns,Ship,Fishing,Port Limits,"Town Reach, Norman Creek, Karumba",Diesel,20
726,11-03-2014,Cairns,Land,N-A,Port Limits,"Marlin Marina, Trinity Inlet, Cairns",Diesel,Unknown
727,12-03-2014,Cairns,Unknown,N-A,Coastal Waters,"South Johnstone river near coronation St, Innisfale",Sheen,Unknown
728,14-03-2014,Cairns,Ship,Unknown,Coastal Waters,Port Douglas Marina,Bilge,Unknown
729,14-03-2014,Cairns,Unknown,N-A,Port Limits,Mourilyan Harbour,Sheen,Unknown
730,31-03-2014,Brisbane,Ship,Commercial,Coastal Waters,"Mulloka Canel East, Minyama",Other (Hydraulic Oil),Unknown
731,1-04-2014,Brisbane,Ship,Commercial,Coastal Waters,"Runaway Bay Marina, Gold Coast",Bilge,4
732,4-04-2014,Townsville,Unknown,N-A,Port Limits,"Berth 4, Port of Townsville",Other (Stock feed),30
733,6-04-2014,Townsville,Ship,Commercial,Port Limits,"Duck Pond, Townsville",Diesel,50
734,22-04-2014,Brisbane,Ship,Commercial,Port Limits,"Brisbane Marine Industrial Park, Brisbane",Diesel,20
735,22-04-2014,Cairns,Unknown,N-A,Coastal Waters,"Johnstone River, Commercial Wharf, Innisfail",Sheen,Unknown
736,23-04-2014,Cairns,Unknown,N-A,Port Limits,"Cairns fishing marina and wharf, Cairns",Sheen,Unknown
737,28-04-2014,Brisbane,Ship,Recreational,Coastal Waters,"Hope Island Resort Marina, Gold Coast",Sheen,1
738,4-05-2014,Cairns,Ship,Commercial,GBRMP,"Cowley Beach Defence Training Area, Cowley Beach",Other (Hydraulic Oil),250
739,21-05-2014,Cairns,Unknown,N-A,Port Limits,"Marlin Marina, Cairns",Bilge,Unknown
740,23-05-2014,Mackay,Ship,Fishing,Port Limits,"Mackay Marina, Commercial Fishing Wharf",Bilge,Unknown
741,30-05-2014,Gladstone,Unknown,N-A,Port Limits,"Transit Systems Berths, Gladstone Marina, Gladstone",Diesel,10
742,2-06-2014,Brisbane,Unknown,N-A,Port Limits,"Luggage Point dredge pump out moornig, Brisbane River",Other (Hydraulic Oil),10
743,6-06-2014,Cairns,Ship,Commercial,Port Limits,"Wharf number 8, Cairns Harbour",Other (Hydraulic Oil),30
744,10-06-2014,Gladstone,Land,N-A,Port Limits,"WICET Project site, Gladstone",Other (Hydraulic Oil),1
745,11-06-2014,Gladstone,Unknown,N-A,Coastal Waters,Lady Elliott Island,Other (Tar Balls),Unknown
746,4-07-2014,Cairns,Ship,Commercial,Port Limits,"Main Wharf, Thursday Island",Diesel,1
747,8-07-2014,Cairns,Unknown,N-A,Port Limits,"Fishing Base 2, Cairns",Diesel,20
748,14-07-2014,Cairns,Ship,Commercial,Port Limits,"Wharf number 4, Trinity Wharf, Cairns",Other (Paint),4
749,16-07-2014,Gladstone,Ship,Fishing,Coastal Waters,Between Great Keppel Island and Barren Island,Diesel,Unknown
750,18-07-2014,Brisbane,Land,N-A,Port Limits,"Fisherman Islands Berth Number 3, Brisbane",Diesel,20
751,18-07-2014,Brisbane,Unknown,N-A,Coastal Waters,"Raby Bay, behind 38 Compass Court, Cleveland",Hydraulic Oil,100
752,18-07-2014,Gladstone,Ship,Commercial,Port Limits,"Curtis Ferry Services pontoon, Gladstone Marina",Diesel,150
753,22-07-2014,Cairns,Ship,Defence,Port Limits,"Cairns Naval Base, Cairns",Hydraulic Oil,10
754,1-08-2014,Townsville,Unknown,N-A,Port Limits,Opposite the Townsville Yacht Club in Ross Creek,Sheen,Unknown
755,16-08-2014,Bundaberg,Unknown,N-A,Port Limits,"Downstream of Tin Can Bay Marina, Tin Can Bay",Diesel,Unknown
756,21-08-2014,Brisbane,Unknown,N-A,Coastal Waters,"Entrance Toondah Harbour, Cleveland",Other (Emulsion),20
757,22-08-2014,Bundaberg,Unknown,N-A,Port Limits,"Tin Can Bay Marina, Tin Can Bay",Diesel,Unknown
758,31-08-2014,Cairns,Ship,Commercial,Port Limits,"Thursday Island Harbour, Port Kennedy, Torres Strait",Diesel,10
759,4-09-2014,Bundaberg,Ship,Recreational,Port Limits,"Tin Can Bay Marina, Tin can Bay",Diesel,Unknown
760,9-09-2014,Gladstone,Land,N-A,Port Limits,"Wiggins Island Coal Export Terminal (WICKET), Gladstone",Other (Panolin),1
761,15-09-2014,Mackay,Ship,Commercial,Port Limits,"Cruise Whitsunday Fuel Dock, Port of Airlie, Airlie Beach",Diesel,1
762,19-09-2014,Gladstone,Ship,Commercial,Coastal Waters,"Heron Island, Great Barrier Reef",Diesel,1
763,21-09-2014,Cairns,Ship,Commercial,Coastal Waters,"Badu Island Barge Ramp, Torres Strait",Diesel,1
764,24-09-2014,Cairns,Ship,Commercial,Port Limits,"Rebel Marine Wharf, Thursday Island, Torres Strait",Diesel,1
765,26-09-2014,Bundaberg,Ship,Recreational,Port Limits,"Susan River, between Maryborough and Hervey Bay",Hydraulic Oil,25
766,15-11-2014,Cairns,Ship,Recreational,Port Limits,"Half Moon Bay Marina, Yorkeys Knob, Cairns",Diesel,Unknown
767,15-11-2014,Mackay,Ship,Recreational,Coastal Waters,"Whitehaven Beach, 1nm south of Hill Inlet",Bilge,Unknown
768,21-11-2014,Cairns,Unknown,N-A,Port Limits,"H Finger, Marlin Marina, Cairns",Diesel,Unknown
769,23-11-2014,Brisbane,Ship,Recreational,Coastal Waters,"Peel Island, South West Rocks, Moreton Bay",Diesel,Unknown
770,28-11-2014,Gladstone,Ship,Commercial,Port Limits,"Fishermans Landing, Gladstone Harbour, Gladstone",Grease ,100
771,7-01-2015,Cairns,Ship,Recreational,Port Limits,"150m from Horn Island Passenger Wharf, Torres Strait",Diesel,Unknown
772,8-01-2015,Brisbane,Ship,Recreational,Coastal Waters,"Hope Island Resort Marina, Hope Island, Gold Coast",Diesel,5
773,24-01-2015,Gladstone,Unknown,N-A,GBRMP,Capricorn Channel,Unknown,Unknown
774,25-02-2015,Cairns,Land,N-A,Port Limits,"Commercial Fish base number 2, Trinity Inlet, Cairns",Sheen,Unknown
775,11-03-2015,Brisbane,Unknown,N-A,Coastal Waters,"Rivage Royale Marina, Southport",Sheen,Unknown
776,14-03-2015,Cairns,Ship,Commercial,Port Limits,"Main wharf, Thursday Island, Port Kennedy, Torres Strait",Diesel,2
777,15-03-2015,Cairns,Land,N-A,Port Limits,"Engineers Wharf, Port Kennedy, Thursday Island, Torres Strait",Diesel,Unknown
778,27-03-2015,Cairns,Ship,Fishing,Port Limits,"Norship BR1, Smith's Creek, Cairns",Diesel,Unknown
779,27-03-2015,Brisbane,Ship,Recreational,Coastal Waters,"Dockside Marine, Kangaroo Point, Brisbane",Sheen,Unknown
780,28-03-2015,Mackay,Unknown,N-A,Port Limits,"Hay Point Berth Number 1, Hay Point",Sheen,Unknown
781,30-03-2015,Cairns,Unknown,N-A,Port Limits,"Commercial Fishing Base 1, Smiths Creek, Cairns",Diesel,Unknown
782,3-04-2015,Brisbane,Ship,Recreational,Coastal Waters,"Marine Stadium, Broadwater, Gold Coast",Diesel,Unknown
783,24-04-2015,Townsville,Ship,Commercial,Port Limits,"Ross River, Townsville",Diesel,Unknown
784,11-05-2015,Brisbane,Land,N-A,Port Limits,"Graincorp Liquid Terminal, Brisbane River",Diesel,1000
785,19-05-2015,Brisbane,Land,N-A,Coastal Waters,"Mooloolaba Yacht club, Mooloolaba",Bitumen Spray,Unknown
786,8-06-2015,Gladstone,Unknown,N-A,Port Limits,"Gladstone Marina, Gladstone",Diesel,Unknown
787,4-07-2015,Townsville,Ship,Commercial,Port Limits,"Townsville Harbour, Townsville",Diesel,10
788,15-07-2015,Cairns,Unknown,N-A,Port Limits,"Tropical Reef Shipyard,  Trinity Inlet,  Cairns",Sheen,Unknown
789,17-07-2015,Townsville,Ship,Unknown,Territorial Sea,20nm North of Cape Upstart,Heavy Fuel Oil,10000
790,21-07-2015,Townsville,Unknown,N-A,Port Limits,"Boat Ramp Number 2, Ross Creek, Townsville",Sheen,Unknown
791,24-07-2015,Cairns,Unknown,N-A,Port Limits,"RaptIs Wharf, Norman River, Karumba",Unknown,Unknown
792,29-07-2015,Cairns,Ship,Commercial,Port Limits,"RaptIs Wharf, Norman River, Karumba",Diesel,10
793,31-07-2015,Gladstone,Ship,Commercial,Port Limits,"Port Alma Public Boat Ramp, Port Alma",Sheen,Unknown
794,7-08-2015,Cairns,Unknown,N-A,Coastal Waters,"Googarra Beach, Tully Heads",Unknown,Unknown
795,14-08-2015,Mackay,Ship,Commercial,Port Limits,"Mackay Marina, Mackay",Bilge,2
796,17-08-2015,Brisbane,Ship,Recreational,Coastal Waters,"Southport Yacht club, Gold Coast Broadwater, Gold Coast",Diesel,Unknown
797,20-08-2015,Brisbane,Unknown,N-A,Coastal Waters,"Karragarra Ws near Karragarra Island, Southern Moreton Bay, Gold Coast",Sheen,Unknown
798,20-08-2015,Cairns,Unknown,N-A,Port Limits,2nm West South West of Green Island off Cairns,Diesel,Unknown
799,20-08-2015,Gladstone,Ship,Commercial,Port Limits,"Fishermans Landing Wharf, Gladstone Harbour, Gladstone",Hydraulic oil,1
800,24-08-2015,Cairns,Ship,Recreational,Coastal Waters,"Chapman Island Anchorage, Chapman Island, 4nm SE of Cape Direction ",Sheen,Unknown
801,25-08-2015,Brisbane,Land,N-A,Coastal Waters,"Coomera River, M1 bridge, Gold Coast",Diesel,1
802,25-08-2015,Mackay,Ship,Commercial,Coastal Waters,"Western Finger, Shute Harbour",Bilge,Unknown
803,22-09-2015,Townsville,Unknown,N-A,Port Limits,"Berth 10, Townsville Harbour, Townsville",Hydraulic oil,20
804,7-10-2015,Gladstone,Ship,Recreational,Port Limits,"G Finger, Gladstone Marina, Gladstone",Diesel,1
805,7-10-2015,Townsville,Land,N-A,Port Limits,"Storm Water Drain, Berth 1, Townsville Harbour, Townsville",Sheen,Unknown
806,11-10-2015,Townsville,Ship,Recreational,Port Limits,"D18, D Arm, Magnetic Island Marina, Magnetic Island",Diesel,Unknown
807,4-11-2015,Cairns,Ship,Defence,Port Limits,"Navy Base, Cairns Harbour, Cairns",Diesel,250000000
808,10-11-2015,Townsville,Ship,Commercial,Port Limits,"Magnetic Island Marina, Magnetic Island",Diesel,2
809,28-11-2015,Cairns,Unknown,N-A,Port Limits,"Lorim Point Wharf, Weipa",Diesel,50
810,30-11-2015,Cairns,Ship,Commercial,Port Limits,"Trinity Wharf, Cairns",Diesel,5
811,3-12-2015,Brisbane,Ship,Recreational,Coastal Waters,"Columbus Drive Canal, Hollywell, Gold Coast",Bilge,15
812,14-12-2015,Cairns,Unknown,N-A,Coastal Waters,"Johnstone River near Banana Island, Innisfail",Diesel,Unknown
813,17-12-2015,Townsville,Ship,Commercial,Port Limits,"CUF Berth, Ross Haven Marina, Ross River, Townsville",Diesel,600
814,22-12-2015,Cairns,Ship,Commercial,Coastal Waters,"Mouth of Bloomfield River, Cape York",Diesel,Unknown
815,31-12-2015,Brisbane,Ship,Recreational,Coastal Waters,"Sanctuary Cove Marina, Hope Island, Gold Coast",Diesel,200
816,3-01-2016,Mackay,Ship,Recreational,Coastal Waters,"Whitsunday Sailing Club, Rock Wall, Airlie Beach",Other,
817,5-01-2016,Townsville,Ship,Recreational,Port Limits,"Ross Creek, Townsville",Diesel,60
818,9-01-2016,Mackay,Ship,Recreational,Coastal Waters,"Shute Harbour Mooring Grid, Shute Harbour",Sheen,Unknown
819,22-01-2016,Brisbane,Unknown,N-A,Coastal Waters,"Queensland Cruising Yacht Club, Cabbage Tree Creek, Sandgate",Diesel,Unknown
820,2-02-2016,Brisbane,Land,N-A,Coastal Waters,"Nerang River at Pacific Motorway Road Bridge, Nerang",Diesel,100
821,2-02-2016,Mackay,Land,N-A,Port Limits,"Fuel Pontoon, Mackay Marina,  Mackay",ULP,70
822,16-02-2016,Brisbane,Unknown,N-A,Coastal Waters,"Mooloola River, Opposite Pilot Station, Mooloolaba",Diesel,Unknown
823,18-02-2016,Cairns,Ship,Commercial,Port Limits,"Main Wharf, Thursday Island, Torres Strait",Diesel,10
824,26-02-2016,Gladstone,Unknown,N-A,Port Limits,"Sea Link Berths, Gladstone Marina, Gladstone",Bilge,Unknown
825,28-02-2016,Townsville,Unknown,N-A,Port Limits,"D Finger Breakwater Marina, Townsville",Diesel,Unknown
826,4-04-2016,Gladstone,Land,N-A,Port Limits,"Service Wharf, Gladstone Marina, Gladstone",Diesel,11
827,5-04-2016,Brisbane,Ship,Trading ship,Port Limits,"Berth 4, Fisherman Islands, Brisbane River, Brisbane",Diesel,Unknown
828,5-04-2016,Townsville,Land,N-A,Port Limits,"Port of Townsville, Townsville",Other (Molasses),Unknown
829,7-04-2016,Brisbane,Ship,Recreational,Coastal Waters,"South West corner of Wave Break Island, Gold Coast",Diesel,15
830,7-04-2016,Cairns,Unknown,N-A,Port Limits,"Karumba Boat Ramp, Karumba",Diesel,20
831,8-04-2016,Gladstone,Unknown,N-A,Port Limits,"Gladstone Marina, Gladstone",Diesel,Unknown
832,20-04-2016,Brisbane,Ship,Recreational,Coastal Waters,"Main Channel, Horizon Shores Marina, Gold Coast",Other (Hydraulic oil),Unknown
833,30-04-2016,Brisbane,Ship,Recreational,Coastal Waters,"Mooloolaba Boat Harbour, Mooloolaba",Sheen,Unknown
834,3-05-2016,Townsville,Ship,Recreational,Port Limits,"Berth 7 Townsville Yacht Club, Townsville",Diesel,100
835,11-05-2016,Gladstone,Ship,Commercial,Coastal Waters,Approximately 10nm East of Round Hill Head,Other,Unknown
836,11-05-2016,Gladstone,Ship,Commercial,Port Limits,"Pelican Bay, Great Sandy Straits",Diesel,Unknown
837,28-05-2016,Gladstone,Ship,Commercial,Port Limits,"Australia Pacific LNG Terminal, Curtis Island, Gladstone",Other (Hydraulic oil),10
838,29-05-2016,Townsville,Ship,Fishing,Port Limits,"Outer Harbour, Bowen",Diesel,Unknown
839,30-05-2016,Mackay,Ship,Recreational,Coastal Waters,"F Arm, Port of Airlie, Airlie Beach",Sheen,Unknown
840,4-06-2016,Brisbane,Ship,Commercial,Coastal Waters,"Carters Basin, Gold Coast Broadwater",Diesel,Unknown
841,8-06-2016,Cairns,Land,N-A,Port Limits,"Main Wharf, Thursday Island, Torres Strait",Diesel,5
842,8-06-2016,Townsville,Ship,Unknown,Port Limits,"Townsville Harbour, Townsville",Other (Grease),Unknown
843,20-06-2016,Brisbane,Land,N-A,Port Limits,"Boggy Creek, Brisbane",Other (Slop Oil),Unknown
844,22-06-2016,Cairns,Ship,Commercial,Port Limits,"Lorim Point Tug Berth, Weipa",Sheen,Unknown
845,1-07-2016,Gladstone,Ship,Recreational,Port Limits,"Burnett Heads Marina, Bundaberg",Diesel,Unknown
846,2-07-2016,Brisbane,Ship,Recreational,Coastal Waters,"Breakfast Creek, Brisbane",Diesel,100
847,5-07-2016,Brisbane,Ship,Recreational,Coastal Waters,"Saltwater Creek, 5 Chanpagne Blvd, Helensvale, Gold Coast",Diesel,Unknown
848,7-07-2016,Cairns,Unknown,N-A,Port Limits,"Endeavour River, Cooktown",Diesel,20
849,12-07-2016,Cairns,Ship,Recreational,Port Limits,"Mourilyan Harbour, Mourilyan",Diesel,Unknown
850,13-07-2016,Gladstone,Unknown,N-A,Port Limits,"O'Connell Wharf, Auckland Creek, Gladstone",Sheen,Unknown
851,13-07-2016,Gladstone,Ship,Fishing,Port Limits,"Trawler base, Gladstone Marina, Gladstone",Other (sump oil),Unknown
852,15-07-2016,Brisbane,Ship,Fishing,Coastal Waters,"Caboolture River, Brisbane",Other ,Unknown
853,21-07-2016,Townsville,Unknown,N-A,Port Limits,"Berth 8, Townsville Port, Townsville",Sheen,Unknown
854,23-07-2016,Cairns,Ship,Commercial,Port Limits,"Fearnley Street boat ramp, Trinity Inlet, Cairns",Bilge,15
855,25-07-2016,Brisbane,Ship,Recreational,Port Limits,"Berth number 2, Fisherman Islands,  Brisbane",Other (Hydraulic Oil),10
856,1-08-2016,Cairns,Ship,Commercial,Port Limits,"Hey River terminal, Weipa",Other (Hydraulic Oil),Unknown
857,21-08-2016,Townsville,Ship,Recreational,Port Limits,"Berth J15, Townsville Yacht Club marina, Townsville",Diesel,30
858,22-08-2016,Gladstone,Unknown,N-A,Port Limits,"Urangan harbour, Hervey Bay",Sheen,Unknown
859,2-09-2016,Gladstone,Land,N-A,Port Limits,"Wiggins Island Coal Export Terminal Wharf, Gladstone",Other (Coal Slurry),10
860,9-09-2016,Cairns,Unknown,N-A,Port Limits,"Marlin Marina, Trinity Inlet, Cairns",Diesel,20
861,9-09-2016,Cairns,Ship,Commercial,Coastal Waters,"Flynn Reef, Cairns",Diesel,2
862,10-09-2016,Gladstone,Unknown,N-A,Port Limits,"Bundaberg Port Marina, Bundaberg",Diesel,Unknown
863,14-09-2016,Gladstone,Land,N-A,Port Limits,"Gladstone Marine Centre, Gladstone Marina, Gladstone",Other (sewage),20
864,20-09-2016,Cairns,Unknown,N-A,Port Limits,"Cairns crusing yacht squadron, Smiths Creek Cairns",Other (Paint),Unknown
865,22-09-2016,Cairns,Unknown,N-A,Port Limits,"Marlin Marina, Trinity Inlet, Cairns",Diesel,Unknown
866,4-10-2016,Cairns,Ship,Commercial,Port Limits,"Trinity Wharf, Chinaman Creek, Cairns",Sheen,Unknown
867,7-10-2016,Gladstone,Ship,Commercial,Port Limits,"Upstream of main bridge, Auckland Creek, Gladstone",Other (Sand blasting sand),Unknown
868,9-10-2016,Townsville,Unknown,N-A,Coastal Waters,"Norship base, Port Hinchinbrook",Diesel,Unknown
869,17-10-2016,Gladstone,Unknown,N-A,Coastal Waters,"Eurong, East side of Fraser Island",Oil,Unknown
870,18-10-2016,Gladstone,Ship,Commercial,Port Limits,"Clinton swing basin, Gladstone harbour, Gladstone",Other (Hydraulic Oil),5
871,20-10-2016,Townsville,Unknown,N-A,Port Limits,"Berth 8, Townsville Port, Townsville",Diesel,10
872,21-10-2016,Cairns,Ship,Commercial,Port Limits,"Humbug wharf, Weipa",Sheen,Unknown
873,22-10-2016,Cairns,Ship,Recreational,Port Limits,"South of Passenger wharf, Horn Island anchorage, Horn Island",Sheen,Unknown
874,27-10-2016,Gladstone,Ship,Commercial,Port Limits,"Curtis ferries pontoon, Gladstone marina, Gladstone",Diesel,Unknown
875,5-11-2016,Cairns,Ship,Navy,Port Limits,"Navy base, Cairns",Diesel,20
876,10-11-2016,Brisbane,Unknown,N-A,Port Limits,"Lawries Marina, Mooloolaba",Diesel,Unknown
877,16-11-2016,Brisbane,Ship,Commercial,Port Limits,"Brisabne Anchorage, Brisbane",Unknown,5
878,24-11-2016,Brisbane,Unknown,N-A,Coastal Waters,"Holman Street Ferry terminal, Kangaroo Point, Brisbane River",Unknown,Unknown
879,25-11-2016,Gladstone,Ship,Commercial,Port Limits,"Ship berth, Port Alma",Oil,Unknown
880,17-12-2016,Brisbane,Ship,Recreational,Coastal Waters,"Dog Beach, entrance to the Noosa River, Sunshine Coast",Bilge,Unknown
881,20-12-2016,Cairns,Ship,Trading Ship,Port Limits,"Smiths Creek, Cairns",Diesel,10
882,23-12-2016,Brisbane,Unknown,N-A,Port Limits,"Aquarium Passage, Pinkenba Reach, Brisbane River, Brisbane",Diesel,Unknown
883,25-12-2016,Cairns,Ship,Commercial,Coastal Waters,Ribbon Reef number 3,Diesel,600
884,27-12-2016,Townsville,Ship,Commercial,Port Limits,"Tug pens, Berth 6, Port of Townsville",Other (Hydraulic Oil),5
885,2-01-2017,Brisbane,Unknown,N-A,Coastal Waters,"Spinnaker Sound Marina, Sandstone Point",Other (sump oil),5
886,5-01-2017,Cairns,Ship,Commercial,Port Limits,"Duck Pond, Smiths Creek, Cairns",Other (Hydraulic Oil),1.5
887,9-01-2017,Brisbane,Unknown,N-A,Coastal Waters,"Thompsons Beach, Victoria Point",Diesel,Unknown
888,27-01-2017,Cairns,Ship,Fishing,Coastal Waters,"Fitzgerald Esplanade, Johnstone River, Innisfail.",Diesel,100
889,31-01-2017,Mackay,Ship,Commercial,Coastal Waters,"Finger number 12, Airlie Beach Marina, Airlie Beach",Other (Engine Oil),8
890,9-02-2017,Brisbane,Ship,Commercial,Port Limits,"Spitfire Channel, Moreton Bay, Brisbane",Other (Hydraulic Oil),Unknown
891,10-02-2017,Townsville,Ship,Commercial,Port Limits,"Vehicle Ferry Terminal, Ross creek, Townsville",Diesel,15
892,13-02-2017,Brisbane,Unknown,N-A,Port Limits,"Mooloolaba Yachat Club, Mooloolaba River, Mooloolaba",Diesel,Unknown
893,14-02-2017,Townsville,Ship,Commercial,Port Limits,"Port of Townsville, Townsville",Other (soot),Unknown
894,18-02-2017,Brisbane,Unknown,N-A,Port Limits,"Browns slip way, Mooloolaba River, Mooloolaba",Diesel,Unknown
895,18-02-2017,Townsville,Ship,Commercial,Port Limits,"Port of Townsville, Townsville",Other (Hydraulic Oil),1
896,21-02-2017,Mackay,Ship,Trading Ship,Port Limits,"Anchorage S13, Hay Point",Other (low sulphur Gas Oil),3
897,22-02-2017,Gladstone,Unknown,N-A,Port Limits,"Public boat ramp, Gladstone Marina, Gladstone",Bilge,Unknown
898,25-02-2017,Townsville,Unknown,N-A,Port Limits,"Fantasea loading ramp, Ross Creek, Townsville",Sheen,Unknown
899,10-03-2017,Mackay,Ship,Commercial,Port Limits,"Hey Point terminal, Hay Point",Diesel,40
900,14-03-2017,Brisbane,Land,N-A,Coastal Waters,"Kawana Waters Canal, Sunshine Coast",Sheen,Unknown
901,17-03-2017,Townsville,Unknown,N-A,Port Limits,"Rosshaven Marina, Ross River, Townsville",Sheen,Unknown
902,18-03-2017,Brisbane,Ship,Commercial,Port Limits,"Incitec South, Lytton Reach, Brisbane River, Brisbane",HFO,500
903,21-03-2017,Cairns,Ship,Recreational,Port Limits,"Main Wharf, Thursday Island",Diesel,2
904,24-03-2017,Townsville,Unknown,N-A,Port Limits,Townsville - Upstream Ross Creek in vicinity of Lowths Bridge,Sheen,Unknown
905,26-03-2017,Cairns,Ship,Commercial,Port Limits,Karumba - Raptis Wharf,Diesel,300
906,27-03-2017,Cairns,Ship,Commercial,Port Limits,"HumBug Terminal, Weipa",Other (garnet and paint),Unknown
907,19-04-2017,Gladstone,Land,N-A,Port Limits,Drain Near Tuan Creek ,Other (grease trap),
908,16-05-2017,Cairns,Ship,Commercial,Port Limits,Trinity Wharf,Other (lubricant oil),1
909,17-05-2017,Townsville,Ship,Commercial,Port Limits,Breth 5 Port of Townsville,Diesel,1
910,17-05-2017,Gladstone,Unknown,N-A,Port Limits,"Urangan harbour, Hervey Bay",Sheen,Unknown
911,26-05-2017,Mackay,Ship,Commercial,Port Limits,BMA Hay Point (old) Trestle Bent 97,Other (Hydraulic Oil),Unknown
912,21-06-2017,Cairns,Ship,Commercial,Port Limits,BSE slipway floating wharf,Diesel,0.5
913,26-06-2017,Gladstone,Ship,Fishing,Port Limits,"Urangan boat harbour, Hervey Bay",Diesel,Unknown
914,29-06-2017,Cairns,Ship,Commercial,Port Limits,Cairns Trinity Wharf # 7-8.,Other (grey water),40
915,5-07-2017,Townsville,Unknown,Unknown,Port Limits,"Northern entrance to West Channel, Townsville",Diesel Sheen,Unknown
916,7-07-2017,Brisbane,Ship,Recreational,Port Limits,"Qld Cruising Yacht Club, Cabbage Tree Creek, Shorncliffe",Oil,Unknown
917,3-09-2017,Brisbane,Ship,Defence,Port Limits,"Queensland Bulk Terminal, Quarries Reach, Brisbane",Lubrication oil,0.3
918,6-09-2017,Townsville,Land,Unknown,Port limits,Berth 4 - Port of Townsville ,Molasses,50
919,14-09-2017,Gladstone,Ship,Unknown,Port Limits,"Town Reach, Burnett River, Bundaberg",Diesel,Unknown
920,24-09-2017,Gladstone,Land,Commercial,Port Limits,"Queensland Alumina Limited, South Trees Wharf, Gladstone",Sodium Hydroxide 50%,Unknown
921,4-10-2017,Gladstone,Ship,Recreational,Port Limits,"Gladstone Marina, Finger J2, Gladstone",Sump Oil,4
922,11-10-2017,Brisbane,Unknown,Unknown,Port Limits,Luggage Point Treatment Plant - Brisbane,Hydrocarbons into sewage treatment plant,Unknown
