------------------------------------------------------------------------------------
| id    | date         | region       | pollutant                     | estimated  |
| "697" | "9/11/2013"  | "Gladstone"  | "Diesel"                      | "40"       |
| "952" | "23/04/2018" | "Townsville" | "Diesel"                      | "0.5"      |
| "231" | "1/04/2005"  | "Cairns"     | "Diesel"                      | "5"        |
| "934" | "18/11/2017" | "Gladstone"  | "Diesel"                      | "0.5"      |
| "607" | "15/10/2012" | "Gladstone"  | "sodium Hypochlorite"         | "100"      |
| "573" | "24/05/2012" | "Gladstone"  | "Hydraulic "                  | "2"        |
| "649" | "4/04/2013"  | "Townsville" | "Hydraulic Fluid"             | "5"        |
| "826" | "4/04/2016"  | "Gladstone"  | "Diesel"                      | "11"       |
| "733" | "6/04/2014"  | "Townsville" | "Diesel"                      | "50"       |
| "526" | "23/07/2011" | "Gladstone"  | " Hydraulic "                 | "5"        |
| "656" | "4/05/2013"  | "Townsville" | "Hydraulic Fluid"             | "1"        |
| "772" | "8/01/2015"  | "Brisbane"   | "Diesel"                      | "5"        |
| "274" | "31/03/2006" | "Cairns"     | "Bilge"                       | "20"       |
| "557" | "15/02/2012" | "Mackay"     | "Hydraulic"                   | "1"        |
| "959" | "28/05/2018" | "Townsville" | "Hydraulic Oil"               | "30"       |
| "647" | "15/03/2013" | "Cairns"     | "Chemical (AFLCO)"            | "10"       |
| "473" | "13/04/2010" | "Gladstone"  | "Diesel "                     | "10"       |
| "541" | "31/10/2011" | "Gladstone"  | "Coolant"                     | "50"       |
| "398" | "18/06/2008" | "Brisbane"   | "Diesel"                      | "100"      |
| "707" | "3/12/2013"  | "Mackay"     | "Diesel"                      | "300"      |
| "486" | "18/08/2010" | "Townsville" | "Diesel"                      | "300"      |
| "513" | "6/04/2011"  | "Townsville" | "Diesel"                      | "50"       |
| "815" | "31/12/2015" | "Brisbane"   | "Diesel"                      | "200"      |
| "507" | "8/03/2011"  | "Cairns"     | "HFO"                         | "300"      |
| "928" | "28/10/2017" | "Cairns"     | "Diesel"                      | "0.12"     |
| "885" | "2/01/2017"  | "Brisbane"   | "Other (sump oil)"            | "5"        |
| "744" | "10/06/2014" | "Gladstone"  | "Other (Hydraulic Oil)"       | "1"        |
| "813" | "17/12/2015" | "Townsville" | "Diesel"                      | "600"      |
| "548" | "8/12/2011"  | "Mackay"     | "Diesel"                      | "1"        |
| "857" | "21/08/2016" | "Townsville" | "Diesel"                      | "30"       |
| "441" | "8/06/2009"  | "Cairns"     | "Diesel"                      | "50"       |
| "481" | "5/07/2010"  | "Townsville" | "Diesel"                      | "5"        |
| "807" | "4/11/2015"  | "Cairns"     | "Diesel"                      | "250mil"   |
| "515" | "11/04/2011" | "Gladstone"  | "Hydraulic"                   | "20"       |
| "748" | "14/07/2014" | "Cairns"     | "Other (Paint)"               | "4"        |
| "278" | "2/05/2006"  | "Mackay"     | "Hydraulic Oil"               | "30"       |
| "662" | "4/06/2013"  | "Townsville" | "Hydraulic Fluid"             | "10"       |
| "334" | "23/05/2007" | "Brisbane"   | "Crude"                       | "0.2"      |
| "792" | "29/07/2015" | "Cairns"     | "Diesel"                      | "10"       |
| "569" | "30/04/2012" | "Mackay"     | "Hydraulic "                  | "15"       |
| "615" | "30/10/2012" | "Townsville" | "Hydraulic Fluid"             | "50"       |
| "642" | "28/02/2013" | "Townsville" | "Hydraulic Fluid"             | "3"        |
| "528" | "14/08/2011" | "Townsville" | "Diesel "                     | "600"      |
| "653" | "11/04/2013" | "Gladstone"  | "Hydraulic Fluid"             | "1"        |
| "861" | "9/09/2016"  | "Cairns"     | "Diesel"                      | "2"        |
| "612" | "22/10/2012" | "Gladstone"  | "Sewage & grey water"         | "1500"     |
| "605" | "13/10/2012" | "Cairns"     | "Diesel"                      | "100"      |
| "449" | "28/07/2009" | "Cairns"     | "Bilge"                       | "35"       |
| "575" | "3/06/2012"  | "Gladstone"  | "Diesel"                      | "1"        |
| "180" | "24/08/2004" | "Cairns"     | "Diesel"                      | "2"        |
| "737" | "28/04/2014" | "Brisbane"   | "Sheen"                       | "1"        |
| "271" | "16/01/2006" | "Gladstone"  | "HFO"                         | "1000"     |
| "522" | "7/07/2011"  | "Mackay"     | "Hydraulic "                  | "2"        |
| "382" | "19/03/2008" | "Cairns"     | "Lube Oil"                    | "0.5"      |
| "912" | "21/06/2017" | "Cairns"     | "Diesel"                      | "0.5"      |
| "888" | "27/01/2017" | "Cairns"     | "Diesel"                      | "100"      |
| "674" | "1/07/2013"  | "Gladstone"  | "Diesel"                      | "20"       |
| "651" | "10/04/2013" | "Gladstone"  | "Diesel"                      | "0.3"      |
| "279" | "30/05/2006" | "Cairns"     | "Diesel"                      | "5"        |
| "329" | "12/05/2007" | "Gold Coast" | "Petrol"                      | "700"      |
| "520" | "20/06/2011" | "Mackay"     | "Hydraulic"                   | "4"        |
| "586" | "23/07/2012" | "Hay Point"  | "Hydraulic Fluid"             | "2"        |
| "848" | "7/07/2016"  | "Cairns"     | "Diesel"                      | "20"       |
| "770" | "28/11/2014" | "Gladstone"  | "Grease "                     | "100"      |
| "458" | "4/12/2009"  | "Townsville" | "Diesel"                      | "2"        |
| "641" | "24/02/2013" | "Gladstone"  | "Diesel"                      | "15"       |
| "276" | "23/04/2006" | "Townsville" | "Diesel"                      | "200"      |
| "326" | "1/05/2007"  | "Cairns"     | "Diesel"                      | "50"       |
| "700" | "12/11/2013" | "Cairns"     | "Diesel"                      | "2"        |
| "175" | "9/08/2004"  | "Cairns"     | "Diesel"                      | "15"       |
| "571" | "10/05/2012" | "Mackay"     | "Paint"                       | "1"        |
| "417" | "24/10/2008" | "Mackay"     | "Diesel"                      | "10"       |
| "776" | "14/03/2015" | "Cairns"     | "Diesel"                      | "2"        |
| "677" | "12/07/2013" | "Townsville" | "Diesel"                      | "10"       |
| "235" | "19/04/2005" | "Cairns"     | "Diesel"                      | "100"      |
| "339" | "8/06/2007"  | "Gladstone"  | "Diesel"                      | "20"       |
| "687" | "10/08/2013" | "Gladstone"  | "Other (Hydraulic Oil)"       | "10"       |
| "927" | "25/10/2017" | "Cairns"     | "Hydraulic Oil"               | "2"        |
| "351" | "5/09/2007"  | "Townsville" | "Diesel"                      | "200"      |
| "408" | "8/08/2008"  | "Gladstone"  | "Lube Oil"                    | "1"        |
| "753" | "22/07/2014" | "Cairns"     | "Hydraulic Oil"               | "10"       |
| "579" | "8/07/2012"  | "Gladstone"  | "Bilge"                       | "2"        |
| "457" | "30/10/2009" | "Brisbane"   | "Diesel "                     | "50"       |
| "896" | "21/02/2017" | "Mackay"     | "Other (low sulphur Gas Oil)" | "3"        |
| "436" | "10/02/2009" | "Gladstone"  | "Diesel"                      | "20"       |
| "877" | "16/11/2016" | "Brisbane"   | "Unknown"                     | "5"        |
| "439" | "11/03/2009" | "Brisbane"   | "HFO"                         | "270"      |
| "474" | "14/04/2010" | "Cairns"     | "Diesel"                      | "20"       |
| "261" | "20/10/2005" | "Cairns"     | "Bilge"                       | "20"       |
| "909" | "17/05/2017" | "Townsville" | "Diesel"                      | "1"        |
| "603" | "5/10/2012"  | "Mackay"     | "Diesel"                      | "5"        |
| "957" | "17/05/2018" | "Brisbane"   | "Sheen"                       | "1.5"      |
